speaker object count
 deangelo oscar 1 
 deangelo phyllis 4 
 deangelo kelly 0 
 deangelo toby 2 
 deangelo creed 0 
 deangelo darryl 1 
 deangelo holly 0 
 deangelo gabe 0 
 deangelo nellie 0 
 deangelo clark 0 
 deangelo pete 0 
 deangelo todd 0 
 deangelo david 0 
 deangelo karen 0 
 deangelo charles 0 
 deangelo jo 1 
 deangelo senator 0 
 deangelo deangelo 5 
 deangelo val 0 
 deangelo cathy 0 
 deangelo danny 0

 val andy 0 
 val erin 0 
 val jim 0 
 val pam 0 
 val michael 0 
 val dwight 0 
 val ryan 0 
 val robert 0 
 val jan 0 
 val roy 0 
 val stanley 0 
 val kevin 3 
 val meredith 0 
 val angela 0 
 val oscar 0 
 val phyllis 0 
 val kelly 0 
 val toby 0 
 val creed 0 
 val darryl 4 
 val holly 0 
 val gabe 0 
 val nellie 0 
 val clark 0 
 val pete 0 
 val todd 0 
 val david 0 
 val karen 0 
 val charles 0 
 val jo 0 
 val senator 0 
 val deangelo 0 
 val val 0 
 val cathy 0 
 val danny 0

 danny andy 0 
 danny erin 0 
 danny jim 2 
 danny pam 1 
 danny michael 1 
 danny dwight 1 
 danny ryan 0 
 danny robert 0 
 danny jan 0 
 danny roy 0 
 danny stanley 0 
 danny kevin 0 
 danny meredith 0 
 danny angela 0 
 danny oscar 0 
 danny phyllis 0 
 danny kelly 0 
 danny toby 0 
 danny creed 0 
 danny darryl 0 
 danny holly 0 
 danny gabe 1 
 danny nellie 0 
 danny clark 0 
 danny pete 0 
 danny todd 1 
 danny david 0 
 danny karen 0 
 danny charles 0 
 danny jo 0 
 danny senator 0 
 danny deangelo 0 
 danny val 0 
 danny cathy 0 
 danny danny 2
